Well;WellName;WellType;Replicate;Threshold(dRn);Ct(dRn);Quantity(copies);RSq(dRn);Slope(dRn);
B4;smpl01;Unknown;1;0.0303;NoCt;NoCt;0.976;-3.606;
B5;smpl01;Unknown;1;0.0303;NoCt;NoCt;0.976;-3.606;
B6;smpl01;Unknown;1;0.0303;NoCt;NoCt;0.976;-3.606;
C4;smpl02;Unknown;2;0.0303;NoCt;NoCt;0.976;-3.606;
C5;smpl02;Unknown;2;0.0303;NoCt;NoCt;0.976;-3.606;
C6;smpl02;Unknown;2;0.0303;NoCt;NoCt;0.976;-3.606;
D4;smpl03;Unknown;3;0.0303;NoCt;NoCt;0.976;-3.606;
D5;smpl03;Unknown;3;0.0303;NoCt;NoCt;0.976;-3.606;
D6;smpl03;Unknown;3;0.0303;NoCt;NoCt;0.976;-3.606;
E4;smpl04;Unknown;4;0.0303;NoCt;NoCt;0.976;-3.606;
E5;smpl04;Unknown;4;0.0303;NoCt;NoCt;0.976;-3.606;
E6;smpl04;Unknown;4;0.0303;NoCt;NoCt;0.976;-3.606;
F4;smpl05;Unknown;5;0.0303;NoCt;NoCt;0.976;-3.606;
F5;smpl05;Unknown;5;0.0303;NoCt;NoCt;0.976;-3.606;
F6;smpl05;Unknown;5;0.0303;NoCt;NoCt;0.976;-3.606;
G4;smpl06;Unknown;6;0.0303;NoCt;NoCt;0.976;-3.606;
G5;smpl06;Unknown;6;0.0303;NoCt;NoCt;0.976;-3.606;
G6;smpl06;Unknown;6;0.0303;NoCt;NoCt;0.976;-3.606;
B7;smpl07;Unknown;7;0.0303;NoCt;NoCt;0.976;-3.606;
B8;smpl07;Unknown;7;0.0303;NoCt;NoCt;0.976;-3.606;
B9;smpl07;Unknown;7;0.0303;NoCt;NoCt;0.976;-3.606;
C7;smpl08;Unknown;8;0.0303;NoCt;NoCt;0.976;-3.606;
C8;smpl08;Unknown;8;0.0303;NoCt;NoCt;0.976;-3.606;
C9;smpl08;Unknown;8;0.0303;NoCt;NoCt;0.976;-3.606;
D7;smpl09;Unknown;9;0.0303;NoCt;NoCt;0.976;-3.606;
D8;smpl09;Unknown;9;0.0303;NoCt;NoCt;0.976;-3.606;
D9;smpl09;Unknown;9;0.0303;NoCt;NoCt;0.976;-3.606;
E7;smpl10;Unknown;10;0.0303;NoCt;NoCt;0.976;-3.606;
E8;smpl10;Unknown;10;0.0303;NoCt;NoCt;0.976;-3.606;
E9;smpl10;Unknown;10;0.0303;NoCt;NoCt;0.976;-3.606;
F7;smpl11;Unknown;11;0.0303;NoCt;NoCt;0.976;-3.606;
F8;smpl11;Unknown;11;0.0303;NoCt;NoCt;0.976;-3.606;
F9;smpl11;Unknown;11;0.0303;NoCt;NoCt;0.976;-3.606;
G7;smpl12;Unknown;12;0.0303;NoCt;NoCt;0.976;-3.606;
G8;smpl12;Unknown;12;0.0303;NoCt;NoCt;0.976;-3.606;
G9;smpl12;Unknown;12;0.0303;NoCt;NoCt;0.976;-3.606;
B10;smpl13;Unknown;13;0.0303;NoCt;NoCt;0.976;-3.606;
B11;smpl13;Unknown;13;0.0303;NoCt;NoCt;0.976;-3.606;
B12;smpl13;Unknown;13;0.0303;NoCt;NoCt;0.976;-3.606;
C10;smpl14;Unknown;14;0.0303;NoCt;NoCt;0.976;-3.606;
C11;smpl14;Unknown;14;0.0303;NoCt;NoCt;0.976;-3.606;
C12;smpl14;Unknown;14;0.0303;NoCt;NoCt;0.976;-3.606;
D10;smpl15;Unknown;15;0.0303;NoCt;NoCt;0.976;-3.606;
D11;smpl15;Unknown;15;0.0303;NoCt;NoCt;0.976;-3.606;
D12;smpl15;Unknown;15;0.0303;NoCt;NoCt;0.976;-3.606;
E10;smpl16;Unknown;16;0.0303;NoCt;NoCt;0.976;-3.606;
E11;smpl16;Unknown;16;0.0303;NoCt;NoCt;0.976;-3.606;
E12;smpl16;Unknown;16;0.0303;NoCt;NoCt;0.976;-3.606;
B1;std5e5;Standard;17;0.0303;28.88;5.00e+005;0.976;-3.606;
B2;std5e5;Standard;17;0.0303;28.99;5.00e+005;0.976;-3.606;
B3;std5e5;Standard;17;0.0303;29.18;5.00e+005;0.976;-3.606;
C1;std5e4;Standard;18;0.0303;33.30;5.00e+004;0.976;-3.606;
C2;std5e4;Standard;18;0.0303;32.42;5.00e+004;0.976;-3.606;
C3;std5e4;Standard;18;0.0303;32.83;5.00e+004;0.976;-3.606;
D1;std5e3;Standard;19;0.0303;36.09;5.00e+003;0.976;-3.606;
D2;std5e3;Standard;19;0.0303;35.85;5.00e+003;0.976;-3.606;
D3;std5e3;Standard;19;0.0303;37.75;5.00e+003;0.976;-3.606;
E1;std5e2;Standard;20;0.0303;39.46;5.00e+002;0.976;-3.606;
E2;std5e2;Standard;20;0.0303;NoCt;NoCt;0.976;-3.606;
E3;std5e2;Standard;20;0.0303;NoCt;NoCt;0.976;-3.606;
F1;std5e1;Standard;21;0.0303;NoCt;NoCt;0.976;-3.606;
F2;std5e1;Standard;21;0.0303;NoCt;NoCt;0.976;-3.606;
F3;std5e1;Standard;21;0.0303;NoCt;NoCt;0.976;-3.606;
G1;std5e0;Standard;22;0.0303;NoCt;NoCt;0.976;-3.606;
G2;std5e0;Standard;22;0.0303;NoCt;NoCt;0.976;-3.606;
G3;std5e0;Standard;22;0.0303;NoCt;NoCt;0.976;-3.606;
H1;ntc;NTC;23;0.0303;NoCt;NoCt;0.976;-3.606;
H2;ntc;NTC;23;0.0303;NoCt;NoCt;0.976;-3.606;
H3;ntc;NTC;23;0.0303;NoCt;NoCt;0.976;-3.606;
F10;notused;NTC;24;0.0303;NoCt;NoCt;0.976;-3.606;
F11;notused;NTC;24;0.0303;NoCt;NoCt;0.976;-3.606;
F12;notused;NTC;24;0.0303;NoCt;NoCt;0.976;-3.606;
