"","Species_name","ALH","ALP","ARH","ESB","FRC","FRH","GED","GRE","HEL","HIR","KAB","KSH","KBH","KGE","ODE","ROD"
"1","Acipenser_baerii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Acipenser_gueldenstaedtii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Acipenser_ruthenus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Bonnemaisonia_hamifera","0","0","0","0","0","1a","0","0","0","0","0","0","0","0","0","0"
"5","Carassius_auratus","0","0","0","0","0","0","0","0","0","0","0","0","1i","0","0","0"
"6","Colpomenia_peregrine","1f","1f","0","0","0","1f","0","0","0","0","0","0","0","0","0","0"
"7","Cordylophora_caspia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Crassostrea_gigas","2","2","0","2","0","0","0","0","2","0","1f","0","2","0","0","0"
"9","Cyprinus_carpio","0","0","0","0","0","0","0","0","0","0","1e","1e","0","0","0","0"
"10","Eriocheir_sinensis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Homarus_americanus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Karenia_mikimotoi","1g","1g","1g","2d","1g","1g","0","1g","1g","1g","1g","1g","1g","0","1g","0"
"13","Mnemiopsis_leidyi","2","2","2","2","2","2","2","2","2","1","2","2","2","2","1","2"
"14","Mya_arenaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Neogobius_melanostomus","0","0","0","0","0","0","2","0","0","0","2","2","2","2","0","2"
"16","Oncorhynchus_mykiss","1i","1i","1i","0","0","0","0","1i","1i","0","1i","1i","1i","1i","1i","0"
"17","Oncorhyncus_gorbuscha","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Paralithodes_camtschaticus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Prorocentrum_minimum","1g","1g","1g","2b","1g","1g","1g","1g","1g","1g","1g","1g","1g","1g","1g","1g"
"20","Pseudochattonella_farcimen","0","0","1h","2c","1h","1h","0","1h","0","1h","1h","1h","0","0","1h","0"
"21","Pseudochattonella_serruculata","0","0","1h","2c","1h","1h","0","1h","0","1h","1h","1h","0","0","1h","0"
"22","Rhithropanopeus_harrisii","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","1"
